feature,perm_importance
ratioThr23,0.04220750000000005
nClusters,0.03793000000000004
Thr3,0.027127500000000047
Density,0.01868000000000004
nHitsTotal,0.006262500000000037
nLayersThr3,0.006067500000000036
lambda2,0.00603750000000004
Zbary_thr3,0.005537500000000051
pctHitsFirst10,0.005367500000000058
N2,0.00488000000000004
Zbary_thr2,0.004517500000000052
Rmean,0.00315500000000003
Zbary,0.003067500000000045
sumThrTotal,0.0027975000000000196
LayerMaxHits,0.0023125000000000506
N3,0.001987500000000053
Rskew,0.0017850000000000587
Zrms,0.0017625000000000446
lambda1,0.0016400000000000524
Rrms,0.0015600000000000392
Begin,0.0012625000000000331
Radius,0.0012100000000000554
RadiusThr3,0.0010950000000000347
maxClustSize,0.0
avgClustSize,0.0
planesWithClusmore2,0.0
Thr3ShowerLength,0.0
