E_low,E_high,N,N_pi_minus,N_proton,AUC
1.0,11.0,6090,3087,3003,0.5812482518021876
11.0,21.0,6111,3091,3020,0.6625749612740256
21.0,31.0,6197,3117,3080,0.6667660379402438
31.0,41.0,6115,3028,3087,0.6818959766079169
41.0,51.0,6228,3080,3148,0.6640940857109854
51.0,61.0,6145,3040,3105,0.6619531316213239
61.0,71.0,6120,3085,3035,0.6719773362633137
71.0,81.0,6148,3087,3061,0.6618704419276462
81.0,91.0,6166,3058,3108,0.6669443315126768
91.0,101.0,6136,3005,3131,0.6525523573773296
101.0,111.0,6126,3073,3053,0.6558454397519301
111.0,121.0,6055,3001,3054,0.6619016101814565
