feature,mean_importance,std_importance
Thr3,0.02999200000000004,0.0008018578427626501
Density,0.024048000000000024,0.0008904470787194608
meanRadius,0.0061880000000000155,0.001760754383779862
NClusters,0.004596,0.0009341862769276895
Zbary,0.004056000000000015,0.00046740132648504076
MaxClustSize,0.003096000000000032,0.0011256571414067446
Nmax,0.002972000000000019,0.0003719354782754705
nMipCluster,0.002560000000000029,0.0011526664738769718
tMean,0.0020160000000000178,0.0003213471642943349
PctHitsFirst10,0.0017320000000000224,0.0005566471054447349
Zrms,0.0004960000000000075,0.00023096320053203614
lambda2,0.00043200000000003235,0.00040764690603510296
AvgClustSize,0.00034400000000001096,0.0003729664864300911
Thr1,0.00020400000000000417,0.00043181477510617053
lambda1,9.20000000000254e-05,0.0006123528394643142
transverseRatio,-1.9999999999975594e-05,0.00031266595593381507
tMax,-4.399999999997739e-05,0.0003986778147828004
tMin,-4.800000000000359e-05,0.00022648620267026192
eccentricity3D,-8.799999999997699e-05,0.0006595271033096531
tSpread,-0.00011199999999995658,0.00024152846623122238
ratioThr23,-0.00016399999999998637,0.0003304300228489973
nTrack,-0.00020799999999996377,9.927738916794743e-05
Thr2,-0.00023199999999996558,0.00019332873557750252
first5LayersRMS,-0.00047999999999996933,0.0003440930106816878
Xmax,-0.0005319999999999769,0.000246446748811975
Begin,-0.0007999999999999785,0.00038512335686117333
