,Begin,Thr3,Density,Radius,nClusters,nLayersThr3,planesWithClusmore2,avgClustSize,maxClustSize,pctHitsFirst10,LayerMaxHits,Zrms,Zbary,ratioThr23,Zbary_thr3,Zbary_thr2
Begin,1.0,-0.15946869050609622,-0.3061397204100161,-0.09773508335161546,-0.31868382257232764,-0.32483308407233846,-0.42720692796428505,-0.11889949116005603,-0.25079917059561274,-0.08466848222134364,0.19181582507632708,-0.3151347290898243,0.19113114382162433,-0.09977606581469063,0.17398502682143427,0.178982850689231
Thr3,-0.15946869050609622,1.0,0.8666428274621986,-0.09561365070232011,0.21405009986213697,0.4753720893519011,0.2582397104330152,0.8671138914940969,0.6474812735349025,-0.20466781466418865,0.11069215737936544,-0.10264773564787819,0.15934940742488046,0.336493895305142,0.12540508283236076,0.12903078162441814
Density,-0.3061397204100161,0.8666428274621986,1.0,-0.002745864163814691,0.43448043577208806,0.5979367341238361,0.4531940890272779,0.8145988156299561,0.771632159745498,-0.3094646562619507,0.17244717179689467,0.05387258549011917,0.25858351820341396,0.4104627918076702,0.1879814015000986,0.22556032847612892
Radius,-0.09773508335161546,-0.09561365070232011,-0.002745864163814691,1.0,0.40586065071304084,0.3117824830564084,0.4286858627730301,-0.18756374451922941,0.14175793359236413,-0.18039268656465082,-0.002010034013194953,0.24273824416169804,0.0954930609197352,0.1281096986956032,0.035966841539902206,0.042297396845828894
nClusters,-0.31868382257232764,0.21405009986213697,0.43448043577208806,0.40586065071304084,1.0,0.8606736490609399,0.851856746047708,0.14447384713911027,0.6786674298765811,-0.3394992471902875,0.06125786494712331,0.4115869333886003,0.22916801900034472,0.40010464813604946,0.09457761384936594,0.17133856128272718
nLayersThr3,-0.32483308407233846,0.4753720893519011,0.5979367341238361,0.3117824830564084,0.8606736490609399,1.0,0.8462787750516138,0.39762839480301176,0.6650373161779694,-0.38385202898818616,0.12459055775284388,0.435237064717815,0.29162298609928233,0.4369919843524309,0.1706385876161086,0.22872768703417154
planesWithClusmore2,-0.42720692796428505,0.2582397104330152,0.4531940890272779,0.4286858627730301,0.851856746047708,0.8462787750516138,1.0,0.13727652410411725,0.5692100088085563,-0.31130503064452003,-0.03074338845969979,0.5562167475542726,0.15909932478560063,0.3822949262524843,0.018173078572473265,0.09102630008841359
avgClustSize,-0.11889949116005603,0.8671138914940969,0.8145988156299561,-0.18756374451922941,0.14447384713911027,0.39762839480301176,0.13727652410411725,1.0,0.6244005879606592,-0.2445397390923543,0.23399698005199984,-0.12325317604893703,0.26015307409863236,0.31423888764899477,0.23715605440267304,0.24642713716169312
maxClustSize,-0.25079917059561274,0.6474812735349025,0.771632159745498,0.14175793359236413,0.6786674298765811,0.6650373161779694,0.5692100088085563,0.6244005879606592,1.0,-0.29418406582312684,0.07661237822621184,0.08265375025704524,0.19757783791640726,0.4270885916979271,0.10139983242658877,0.15725346096156084
pctHitsFirst10,-0.08466848222134364,-0.20466781466418865,-0.3094646562619507,-0.18039268656465082,-0.3394992471902875,-0.38385202898818616,-0.31130503064452003,-0.2445397390923543,-0.29418406582312684,1.0,-0.6671892323489433,-0.25797220026661377,-0.8089925987299071,-0.27321265129236666,-0.7309215636037734,-0.782577869129742
LayerMaxHits,0.19181582507632708,0.11069215737936544,0.17244717179689467,-0.002010034013194953,0.06125786494712331,0.12459055775284388,-0.03074338845969979,0.23399698005199984,0.07661237822621184,-0.6671892323489433,1.0,0.1985250926916487,0.8617918490251859,0.13136863838243903,0.8750243385058627,0.8681680263329481
Zrms,-0.3151347290898243,-0.10264773564787819,0.05387258549011917,0.24273824416169804,0.4115869333886003,0.435237064717815,0.5562167475542726,-0.12325317604893703,0.08265375025704524,-0.25797220026661377,0.1985250926916487,1.0,0.3394189523336373,0.13569022266003497,0.2890967928296168,0.3574148439937647
Zbary,0.19113114382162433,0.15934940742488046,0.25858351820341396,0.0954930609197352,0.22916801900034472,0.29162298609928233,0.15909932478560063,0.26015307409863236,0.19757783791640726,-0.8089925987299071,0.8617918490251859,0.3394189523336373,1.0,0.22860845482092076,0.9379782741371943,0.9832447009696659
ratioThr23,-0.09977606581469063,0.336493895305142,0.4104627918076702,0.1281096986956032,0.40010464813604946,0.4369919843524309,0.3822949262524843,0.31423888764899477,0.4270885916979271,-0.27321265129236666,0.13136863838243903,0.13569022266003497,0.22860845482092076,1.0,0.15167111768644764,0.19250383219806066
Zbary_thr3,0.17398502682143427,0.12540508283236076,0.1879814015000986,0.035966841539902206,0.09457761384936594,0.1706385876161086,0.018173078572473265,0.23715605440267304,0.10139983242658877,-0.7309215636037734,0.8750243385058627,0.2890967928296168,0.9379782741371943,0.15167111768644764,1.0,0.9400465762056971
Zbary_thr2,0.178982850689231,0.12903078162441814,0.22556032847612892,0.042297396845828894,0.17133856128272718,0.22872768703417154,0.09102630008841359,0.24642713716169312,0.15725346096156084,-0.782577869129742,0.8681680263329481,0.3574148439937647,0.9832447009696659,0.19250383219806066,0.9400465762056971,1.0
