feature,importance_weight
Zbary,0.5442187476375047
Begin,0.5277538789022499
Zbary_thr2,0.3554993006257894
Zbary_thr3,0.3221155851420785
pctHitsFirst10,0.31352614869683854
nClusters,0.2535097398620333
Zrms,0.209936606482356
planesWithClusmore2,0.20739385671340638
LayerMaxHits,0.18460873884404916
Density,0.18030600527310398
nLayersThr3,0.17188933313904853
avgClustSize,0.1695889319971564
ratioThr23,0.1562845643068725
Thr3,0.145251282934715
maxClustSize,0.14215417789385482
Radius,0.13436164617225227
