feature,importance_permutation
Zbary,0.22712878547975798
Begin,0.16265937765629426
Zbary_thr2,0.1589359822663711
Zbary_thr3,0.09017483624727077
N2,0.08299304988416473
nHitsTotal,0.07358622643710726
Zrms,0.06429273821230354
nClusters,0.0505725095418257
pctHitsFirst10,0.04558742645710758
nLayersThr3,0.04472241204020068
ratioThr23,0.03975399589993165
planesWithClusmore2,0.0318771979532992
sumThrTotal,0.031658860981016335
Density,0.027817130285504754
avgClustSize,0.018528642144035722
maxClustSize,0.01825863764396074
LayerMaxHits,0.015823597059951
Radius,0.015178586309771813
Thr3,0.014673577892964872
N3,0.01315188586476439
Rmean,0.012543542392373186
Rrms,0.011328522142035702
Thr3ShowerLength,0.006693444890748157
lambda1,0.004018400306671765
lambda2,0.0029083818063634246
RadiusThr3,0.000716678611310173
Rskew,0.0
