feature,importance_mean,importance_std
tMin,0.21642948717948712,0.001302279521709034
z0_fit,0.050146153846153826,0.0007951240294584429
NClusters,0.02607179487179486,0.0014645627728825394
Zbary,0.023435897435897433,0.0006998872831199291
Density,0.021638461538461516,0.0008647680614659119
MaxClustSize,0.013557692307692281,0.000933087633199276
PctHitsFirst10,0.01244487179487177,0.0007984215608456081
Thr3,0.009641025641025636,0.0008317144037716138
PlanesWithClusmore2,0.009326923076923056,0.0005652741330508551
AvgClustSize,0.00623461538461535,0.0004045699659276586
Thr1,0.00434102564102562,0.00042591125187921097
Begin,0.003046153846153821,0.000520588601279097
Thr2,0.0026820512820512677,0.0005324697149793085
ratioThr23,0.0024807692307692196,0.0004885355620604935
Zrms,0.0024423076923076547,0.0003468298242967228
Radius,0.0019282051282051183,0.00041816102834657797
lambda1,0.0014025641025640968,0.00046442119675437426
eccentricity3D,0.0012730769230769213,0.00030838863515999734
lambda2,0.001225641025641011,0.0003037785275819544
tSpread,0.001189743589743586,0.0001872672783231724
Nmax,0.0010217948717948567,0.00019248282623598014
Xmax,0.0008128205128205112,0.00027227823492222993
tMax,0.0005679487179486963,0.0003706458815281297
tMean,0.00046025641025638776,0.00029871794871793526
nTrackSegments,0.00033974358974356853,0.00032313033746483714
lambda,6.53846153846116e-05,0.00021509825285818238
